Vivado Simulator 2017.1
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 850145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 857085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 857095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 864035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 864045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 870985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 870995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 877935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 877945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 884885000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 884895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 891835000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 891845000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 898785000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 898795000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 905735000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 905745000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 912685000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 912695000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 919635000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 919645000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 926585000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 926595000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 933535000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 933545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 940485000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 940495000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 947435000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 947445000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 954385000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 954395000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 961335000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 961345000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 968285000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 968295000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 975235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 975245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 982185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 982195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 989135000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 989145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 996085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 996095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1003035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1003045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1009985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1009995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1016935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1016945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1023885000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1023895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1030835000, A write address: 0, B  read address: 0
